asset,type,capacity,investment_method,investment_integer,technical_lifetime,economic_lifetime,discount_rate,capacity_storage_energy,storage_method_energy,is_seasonal,unit_commitment,unit_commitment_method,min_operating_point,unit_commitment_integer,ramping,max_ramp_up,max_ramp_down
electrolyzer_option_12,conversion,37.96,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_13,conversion,39.59,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_14,conversion,41.22,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_15,conversion,42.86,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_16,conversion,44.49,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_17,conversion,46.12,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_18,conversion,47.76,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_19,conversion,49.39,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_20,conversion,51.02,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_21,conversion,52.65,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_22,conversion,54.29,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_23,conversion,55.92,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_24,conversion,57.55,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_25,conversion,59.18,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_26,conversion,60.82,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_27,conversion,62.45,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_28,conversion,64.08,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_29,conversion,65.71,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_30,conversion,67.35,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_31,conversion,68.98,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_32,conversion,70.61,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_33,conversion,72.24,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_34,conversion,73.88,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_35,conversion,75.51,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_36,conversion,77.14,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_37,conversion,78.78,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_38,conversion,80.41,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_39,conversion,82.04,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_40,conversion,83.67,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_41,conversion,85.31,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_42,conversion,86.94,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_43,conversion,88.57,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_44,conversion,90.2,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_45,conversion,91.84,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_46,conversion,93.47,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_47,conversion,95.1,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_48,conversion,96.73,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_49,conversion,98.37,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
electrolyzer_option_50,conversion,100.0,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
